BMI_Overweight,BMI_Overwgt8,BMI_Overwgt4,BMI,Avg 0,BMI_Class,HR,Outlier,Number of Records,Avg,Handedness,Height,Name,Weight
Normal,"N4: [24,25)",Normal 2,24.950657895,No Batting,b Normal,0,Good Data,1,0,Right,76,Gary Beare,205
Overweight,"O4: [26.5,30)",OvWgt 2,26.870222222,Batted,c Overwgt,65,Good Data,1,0.246,Right,75,Charlie Spikes,215
Normal,"N3: [22,24)",Normal 2,23.672448980,No Batting,b Normal,0,Good Data,1,0,Left,70,Brian Dubois,165
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,24,Good Data,1,0.23,Left,72,Steve Whitaker,180
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,26,Good Data,1,0.272,Left,73,Manny Jimenez,185
Normal,"N3: [22,24)",Normal 2,23.733552632,No Batting,b Normal,0,Good Data,1,0,Right,76,Chris Batton,195
Overweight,"O1: [25,25.5)",OvWgt 1,25.358989198,Batted,c Overwgt,30,Good Data,1,0.221,Right,72,Duffy Dyer,187
Normal,"N3: [22,24)",Normal 2,23.108108108,Batted,b Normal,122,Good Data,1,0.257,Both,74,Ken Henderson,180
Normal,"N4: [24,25)",Normal 2,24.306797099,No Batting,b Normal,0,Good Data,1,0,Left,77,Vance Lovelace,205
Overweight,"O1: [25,25.5)",OvWgt 1,25.381075183,No Batting,c Overwgt,0,Good Data,1,0,Right,71,Greg Thayer,182
Normal,"N2: [22,23)",Normal 1,22.426346406,Batted,b Normal,14,Good Data,1,0.232,Right,73,Vern Fuller,170
Normal,"N3: [22,24)",Normal 2,23.713948389,No Batting,b Normal,0,Good Data,1,0,Right,77,Paul Hartzell,200
Overweight,"O4: [26.5,30)",OvWgt 2,26.959459459,Batted,c Overwgt,121,Good Data,1,0.233,Left,74,Wayne Gross,210
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,2,Good Data,1,0.229,Right,72,Mike Champion,185
Overweight,"O3: [26,26.5)",OvWgt 2,26.443865741,No Batting,c Overwgt,0,Good Data,1,0,Left,72,Ralph Botting,195
Normal,"N1: [19,22)",Normal 1,21.907894737,Batted,b Normal,50,Good Data,1,0.225,Right,76,Paul Casanova,180
Normal,"N2: [22,23)",Normal 1,22.466216216,Batted,b Normal,0,Good Data,1,0.138,Right,74,Steve Rogers,175
Normal,"N3: [22,24)",Normal 2,23.108108108,No Batting,b Normal,0,Good Data,1,0,Right,74,Keith Creel,180
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,42,Good Data,1,0.25,Left,72,Terry Crowley,180
Overweight,"O1: [25,25.5)",OvWgt 1,25.101869355,Batted,c Overwgt,27,Good Data,1,0.256,Both,69,Horace Clarke,170
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,65,Good Data,1,0.247,Right,73,Lou Clinton,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.537551020,Batted,c Overwgt,12,Good Data,1,0.221,Right,70,Larry Cox,178
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,173,Good Data,1,0.243,Right,74,Nate Colbert,190
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,43,Good Data,1,0.215,Right,74,Phil Roof,190
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,113,Good Data,1,0.264,Right,73,Chuck Hinton,180
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,9,Good Data,1,0.22,Right,73,Tim Cullen,185
Normal,"N3: [22,24)",Normal 2,23.364864865,Batted,b Normal,14,Good Data,1,0.235,Left,74,Tim Harkness,182
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,Batted,c Overwgt,17,Good Data,1,0.25,Right,71,Rick Bosetti,185
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,12,Good Data,1,0.269,Right,72,Ron Pruitt,185
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,348,Good Data,1,0.274,Right,73,George Foster,180
Normal,"N3: [22,24)",Normal 2,23.528979592,Batted,b Normal,21,Good Data,1,0.253,Both,70,Jerry White,164
Overweight,"O2: [25.5,26)",OvWgt 1,25.537551020,Batted,c Overwgt,22,Good Data,1,0.245,Right,70,Angel Mangual,178
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,24,Good Data,1,0.221,Right,72,Ken Gerhart,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.107142857,Batted,c Overwgt,26,Good Data,1,0.252,Right,70,Mike Hershberger,175
Overweight,"O4: [26.5,30)",OvWgt 2,27.365916955,Batted,c Overwgt,5,Good Data,1,0.196,Left,68,Jim French,180
Normal,"N4: [24,25)",Normal 2,24.370666667,Batted,b Normal,7,Good Data,1,0.194,Left,75,Dave Roberts,195
Normal,"N3: [22,24)",Normal 2,23.75,Batted,b Normal,12,Good Data,1,0.203,Left,74,Jim Mason,185
Normal,"N2: [22,23)",Normal 1,22.496,No Batting,b Normal,0,Good Data,1,0,Right,75,Mike Smith,180
Normal,"N4: [24,25)",Normal 2,24.680941358,Batted,b Normal,46,Good Data,1,0.248,Left,72,Willie Smith,182
Normal,"N3: [22,24)",Normal 2,23.125,No Batting,b Normal,0,Good Data,1,0,Right,76,T.R. Bryden,190
Normal,"N1: [19,22)",Normal 1,21.246222222,Batted,b Normal,1,Good Data,1,0.215,Right,75,Jose Arcia,170
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,147,Good Data,1,0.277,Left,73,Leon Durham,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,No Batting,c Overwgt,0,Good Data,1,0,Right,71,Tom Makowski,185
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,29,Good Data,1,0.236,Both,72,Paul Householder,180
Overweight,"O2: [25.5,26)",OvWgt 1,25.824489796,Batted,c Overwgt,124,Good Data,1,0.237,Right,70,Aurelio Rodriguez,180
Normal,"N2: [22,23)",Normal 1,22.375578704,Batted,b Normal,8,Good Data,1,0.237,Both,72,Jimmy Stewart,165
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,12,Good Data,1,0.229,Left,72,Dick Phillips,180
Normal,"N2: [22,23)",Normal 1,22.426346406,Batted,b Normal,42,Good Data,1,0.234,Right,73,Andres Thomas,170
Normal,"N2: [22,23)",Normal 1,22.466216216,Batted,b Normal,0,Good Data,1,0.22,Left,74,Ed Crosby,175
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,25,Good Data,1,0.251,Right,71,Mike de la Hoz,175
Normal,"N1: [19,22)",Normal 1,21.019483025,Batted,b Normal,2,Good Data,1,0.255,Right,72,Frank Taveras,155
Normal,"N4: [24,25)",Normal 2,24.138503086,Batted,b Normal,3,Good Data,1,0.228,Right,72,Joe Nossek,178
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,36,Good Data,1,0.232,Left,72,Larry Stahl,175
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,165,Good Data,1,0.284,Left,72,Jose Cruz,170
Normal,"N2: [22,23)",Normal 1,22.313033128,Batted,b Normal,3,Good Data,1,0.205,Left,71,Don Mason,160
Normal,"N4: [24,25)",Normal 2,24.263513514,Batted,b Normal,166,Good Data,1,0.258,Right,74,Bill Robinson,189
Normal,"N3: [22,24)",Normal 2,23.109796187,No Batting,b Normal,0,Good Data,1,0,Left,78,Jim Umbarger,200
Overweight,"O3: [26,26.5)",OvWgt 2,26.443865741,Batted,c Overwgt,242,Good Data,1,0.254,Right,72,Sal Bando,195
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,Batted,c Overwgt,76,Good Data,1,0.236,Right,74,George Mitterwald,195
Normal,"N3: [22,24)",Normal 2,23.125,No Batting,b Normal,0,Good Data,1,0,Right,76,Mike Darr,190
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,0,Good Data,1,0.219,Right,70,Craig Robinson,165
Normal,"N4: [24,25)",Normal 2,24.950657895,Batted,b Normal,79,Good Data,1,0.232,Right,76,Bob Tillman,205
Overweight,"O3: [26,26.5)",OvWgt 2,26.085343228,No Batting,c Overwgt,0,Good Data,1,0,Left,77,Curt Wardle,220
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,4,Good Data,1,0.216,Right,72,Pat Corrales,180
Overweight,"O1: [25,25.5)",OvWgt 1,25.101869355,Batted,c Overwgt,27,Good Data,1,0.241,Right,69,Mike Tyson,170
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,4,Good Data,1,0.237,Both,70,Rafael Landestoy,165
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,23,Good Data,1,0.258,Right,72,Duane Josephson,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,24,Good Data,1,0.229,Left,72,Duane Walker,185
Normal,"N2: [22,23)",Normal 1,22.148708255,Batted,b Normal,70,Good Data,1,0.244,Right,69,Glenn Hubbard,150
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,22,Good Data,1,0.245,Right,72,Roger Freed,190
Normal,"N4: [24,25)",Normal 2,24.370666667,Batted,b Normal,267,Good Data,1,0.278,Right,75,George Hendrick,195
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,92,Good Data,1,0.328,Left,72,Rod Carew,170
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,6,Good Data,1,0.197,Right,72,Bob Davis,180
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,195,Good Data,1,0.264,Right,72,Toby Harrah,175
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,56,Good Data,1,0.257,Left,73,Rick Manning,180
Overweight,"O1: [25,25.5)",OvWgt 1,25.101869355,No Batting,c Overwgt,0,Good Data,1,0,Left,69,Israel Sanchez,170
Overweight,"O2: [25.5,26)",OvWgt 1,25.675675676,No Batting,c Overwgt,0,Good Data,1,0,Both,74,Steve Burke,200
Normal,"N3: [22,24)",Normal 2,23.75,Batted,b Normal,234,Good Data,1,0.281,Right,74,Gary Matthews,185
Normal,"N2: [22,23)",Normal 1,22.375578704,Batted,b Normal,51,Good Data,1,0.258,Left,72,Cesar Geronimo,165
Normal,"N4: [24,25)",Normal 2,24.342105263,Batted,b Normal,41,Good Data,1,0.216,Left,76,Billy Bryan,200
Normal,"N3: [22,24)",Normal 2,23.745543254,No Batting,b Normal,0,Good Data,1,0,Right,73,Terry Taylor,180
Overweight,"O2: [25.5,26)",OvWgt 1,25.988177895,Batted,c Overwgt,33,Good Data,1,0.281,Left,73,Terry Whitfield,197
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,4,Good Data,1,0.215,Right,71,Mario Mendoza,170
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,306,Good Data,1,0.283,Left,73,Fred Lynn,185
Normal,"N4: [24,25)",Normal 2,24.777027027,Batted,b Normal,166,Good Data,1,0.273,Right,74,Larry Hisle,193
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,390,Good Data,1,0.248,Left,72,Graig Nettles,180
Overweight,"O3: [26,26.5)",OvWgt 2,26.167763158,No Batting,c Overwgt,0,Good Data,1,0,Right,76,Randy Nosek,215
Overweight,"O3: [26,26.5)",OvWgt 2,26.245333333,Batted,c Overwgt,31,Good Data,1,0.262,Right,75,Dave Engle,210
Normal,"N2: [22,23)",Normal 1,22.955102041,No Batting,b Normal,0,Good Data,1,0,Left,70,Narciso Elvira,160
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,118,Good Data,1,0.293,Left,72,Mike Easler,190
Overweight,"O4: [26.5,30)",OvWgt 2,27.601351351,No Batting,c Overwgt,0,Good Data,1,0,Right,74,Mark Smith,215
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,No Batting,c Overwgt,0,Good Data,1,0,Right,73,Paul Mitchell,195
Overweight,"O3: [26,26.5)",OvWgt 2,26.383936949,Batted,c Overwgt,6,Good Data,1,0.234,Both,73,Rick Sweet,200
Overweight,"O3: [26,26.5)",OvWgt 2,26.496726840,Batted,c Overwgt,113,Good Data,1,0.292,Right,71,Thurman Munson,190
Normal,"N4: [24,25)",Normal 2,24.120711111,Batted,b Normal,241,Good Data,1,0.264,Left,75,Rick Monday,193
Normal,"N4: [24,25)",Normal 2,24.363579080,Batted,b Normal,5,Good Data,1,0.226,Right,69,Mike Sadek,165
Normal,"N2: [22,23)",Normal 1,22.426346406,Batted,b Normal,20,Good Data,1,0.228,Right,73,Mark Belanger,170
Overweight,"O1: [25,25.5)",OvWgt 1,25.223379630,Batted,c Overwgt,39,Good Data,1,0.273,Right,72,Ron Hunt,186
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,9,Good Data,1,0.246,Left,72,Joe Keough,185
Overweight,"O1: [25,25.5)",OvWgt 1,25.370488889,No Batting,c Overwgt,0,Good Data,1,0,Right,75,Butch Edge,203
Overweight,"O4: [26.5,30)",OvWgt 2,26.541836735,Batted,c Overwgt,29,Good Data,1,0.229,Right,70,Vic Correll,185
Normal,"N3: [22,24)",Normal 2,23.010315414,Batted,b Normal,12,Good Data,1,0.208,Right,71,Jackie Hernandez,165
Overweight,"O4: [26.5,30)",OvWgt 2,28.478009259,Batted,c Overwgt,50,Good Data,1,0.255,Left,72,Tony Solaita,210
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,27,Good Data,1,0.251,Both,71,U L Washington,175
Normal,"N3: [22,24)",Normal 2,23.120888889,No Batting,b Normal,0,Good Data,1,0,Right,75,Gary Mielke,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.998520710,No Batting,c Overwgt,0,Good Data,1,0,Right,78,Rick Henninger,225
Overweight,"O4: [26.5,30)",OvWgt 2,29.156057099,Batted,c Overwgt,58,Good Data,1,0.248,Right,72,Joe Foy,215
Normal,"N2: [22,23)",Normal 1,22.496,Batted,b Normal,30,Good Data,1,0.26,Left,75,Ed Goodson,180
Normal,"N4: [24,25)",Normal 2,24.391891892,No Batting,b Normal,0,Good Data,1,0,Both,74,Mark Brown,190
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,14,Good Data,1,0.241,Right,71,Mickey Klutts,170
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,77,Good Data,1,0.244,Right,73,Leroy Stanton,195
Normal,"N1: [19,22)",Normal 1,21.697530864,No Batting,b Normal,0,Good Data,1,0,Right,72,Rafael Vasquez,160
Normal,"N4: [24,25)",Normal 2,24.404879984,No Batting,b Normal,0,Good Data,1,0,Left,71,Len Whitehouse,175
Normal,"N1: [19,22)",Normal 1,21.299342105,Batted,b Normal,2,Good Data,1,0.22,Right,76,Danny Ainge,175
Normal,"N3: [22,24)",Normal 2,23.085944830,Batted,b Normal,59,Good Data,1,0.247,Right,73,Adolfo Phillips,175
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,7,Good Data,1,0.25,Right,72,Marv Breeding,175
Normal,"N4: [24,25)",Normal 2,24.265285996,No Batting,b Normal,0,Good Data,1,0,Right,78,Steve Adkins,210
Normal,"N4: [24,25)",Normal 2,24.544336441,Batted,b Normal,197,Good Data,1,0.247,Left,71,Dick McAuliffe,176
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,0,Good Data,1,0.134,Right,72,Joe Horlen,170
Overweight,"O3: [26,26.5)",OvWgt 2,26.443865741,Batted,c Overwgt,2,Good Data,1,0.237,Right,72,Glenn Burke,195
Overweight,"O1: [25,25.5)",OvWgt 1,25.394081633,No Batting,c Overwgt,0,Good Data,1,0,Right,70,Tony Mack,177
Normal,"N3: [22,24)",Normal 2,23.120888889,Batted,b Normal,6,Good Data,1,0.211,Right,75,Terry Humphrey,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.559210526,No Batting,c Overwgt,0,Good Data,1,0,Right,76,Bill Moran,210
Normal,"N3: [22,24)",Normal 2,23.565095156,Batted,b Normal,2,Good Data,1,0.224,Right,68,Enzo Hernandez,155
Normal,"N2: [22,23)",Normal 1,22.886998530,Batted,b Normal,0,Good Data,1,0.235,Right,69,Cesar Gutierrez,155
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,28,Good Data,1,0.233,Right,70,Coco Laboy,165
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,13,Good Data,1,0.231,Both,72,Ted Kubiak,175
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,112,Good Data,1,0.26,Right,71,Jim Morrison,175
Normal,"N4: [24,25)",Normal 2,24.405141678,No Batting,b Normal,0,Good Data,1,0,Right,73,Tom Gilles,185
Normal,"N2: [22,23)",Normal 1,22.426346406,Batted,b Normal,56,Good Data,1,0.236,Right,73,Bobby Knoop,170
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,26,Good Data,1,0.245,Both,74,Bobby Brown,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.102162269,Batted,c Overwgt,22,Good Data,1,0.248,Left,71,Tom Hutton,180
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,19,Good Data,1,0.24,Left,73,Ron Hodges,185
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,6,Good Data,1,0.254,Left,71,Rich Chiles,170
Overweight,"O3: [26,26.5)",OvWgt 2,26.167763158,Batted,c Overwgt,86,Good Data,1,0.282,Right,76,Tom Paciorek,215
Normal,"N3: [22,24)",Normal 2,23.75,Batted,b Normal,13,Good Data,1,0.243,Right,74,Gary Woods,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,23,Good Data,1,0.258,Right,73,Bob Montgomery,195
Overweight,"O3: [26,26.5)",OvWgt 2,26.383936949,Batted,c Overwgt,240,Good Data,1,0.261,Right,73,Jeff Burroughs,200
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,292,Good Data,1,0.279,Left,74,Rusty Staub,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.107142857,Batted,c Overwgt,7,Good Data,1,0.264,Left,70,Jim Norris,175
Normal,"N2: [22,23)",Normal 1,22.313033128,Batted,b Normal,200,Good Data,1,0.265,Left,71,Oscar Gamble,160
Overweight,"O2: [25.5,26)",OvWgt 1,25.559210526,No Batting,c Overwgt,0,Good Data,1,0,Right,76,Bob Kammeyer,210
Overweight,"O4: [26.5,30)",OvWgt 2,26.850694444,Batted,c Overwgt,27,Good Data,1,0.268,Left,72,George Vukovich,198
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,No Batting,c Overwgt,0,Good Data,1,0,Left,71,Joe Pactwa,185
Normal,"N3: [22,24)",Normal 2,23.085944830,Batted,b Normal,42,Good Data,1,0.256,Left,73,Craig Reynolds,175
Normal,"N2: [22,23)",Normal 1,22.782407407,Batted,b Normal,134,Good Data,1,0.25,Right,72,Paul Blair,168
Overweight,"O2: [25.5,26)",OvWgt 1,25.988177895,Batted,c Overwgt,108,Good Data,1,0.27,Right,73,Al Cowens,197
Overweight,"O3: [26,26.5)",OvWgt 2,26.443865741,Batted,c Overwgt,219,Good Data,1,0.303,Left,72,Al Oliver,195
Overweight,"O4: [26.5,30)",OvWgt 2,26.636183297,Batted,c Overwgt,6,Good Data,1,0.213,Right,71,Dave Hilton,191
Normal,"N3: [22,24)",Normal 2,23.920604915,Batted,b Normal,5,Good Data,1,0.214,Right,69,Luis Alvarado,162
Normal,"N3: [22,24)",Normal 2,23.745777778,Batted,b Normal,256,Good Data,1,0.263,Right,75,Larry Parrish,190
Normal,"N4: [24,25)",Normal 2,24.620622222,Batted,b Normal,2,Good Data,1,0.138,Right,75,Woodie Fryman,197
Normal,"N2: [22,23)",Normal 1,22.466216216,Batted,b Normal,1,Good Data,1,0.257,Right,74,Bob Randall,175
Normal,"N4: [24,25)",Normal 2,24.389795918,Batted,b Normal,9,Good Data,1,0.25,Right,70,Jim Pankovits,170
Normal,"N4: [24,25)",Normal 2,24.950657895,No Batting,b Normal,0,Good Data,1,0,Left,76,Sherman Corbett,205
Overweight,"O4: [26.5,30)",OvWgt 2,27.121913580,Batted,c Overwgt,20,Good Data,1,0.224,Right,72,Carmen Fanzone,200
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,Batted,c Overwgt,19,Good Data,1,0.221,Right,71,Gary Allenson,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,77,Good Data,1,0.263,Left,72,Milt May,190
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,34,Good Data,1,0.279,Right,73,Mike Vail,180
Normal,"N4: [24,25)",Normal 2,24.995555556,Batted,b Normal,122,Good Data,1,0.25,Right,75,Nick Esasky,200
Overweight,"O1: [25,25.5)",OvWgt 1,25.223379630,Batted,c Overwgt,16,Good Data,1,0.22,Left,72,Jim Nettles,186
Normal,"N4: [24,25)",Normal 2,24.404879984,No Batting,b Normal,0,Good Data,1,0,Both,71,Lafayette Currence,175
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,18,Good Data,1,0.235,Right,72,Chris Cannizzaro,190
Overweight,"O3: [26,26.5)",OvWgt 2,26.317567568,Batted,c Overwgt,29,Good Data,1,0.273,Left,74,Larry Biittner,205
Normal,"N2: [22,23)",Normal 1,22.466216216,No Batting,b Normal,0,Good Data,1,0,Right,74,John Pawlowski,175
Normal,"N3: [22,24)",Normal 2,23.481703884,Batted,b Normal,7,Big Hgt & Wgt,1,0.16,Right,73,Mel Stottlemyre,178
Normal,"N2: [22,23)",Normal 1,22.466216216,No Batting,b Normal,0,Good Data,1,0,Right,74,Jack Hardy,175
Normal,"N3: [22,24)",Normal 2,23.75,No Batting,b Normal,0,Good Data,1,0,Right,74,Ron Musselman,185
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,163,Good Data,1,0.257,Both,73,Roy Smalley,185
Normal,"N4: [24,25)",Normal 2,24.683792898,No Batting,b Normal,0,Good Data,1,0,Right,71,Tony Chevez,177
Overweight,"O3: [26,26.5)",OvWgt 2,26.383936949,Batted,c Overwgt,5,Good Data,1,0.17,Right,73,Andy Messersmith,200
Overweight,"O3: [26,26.5)",OvWgt 2,26.383936949,Batted,c Overwgt,207,Good Data,1,0.287,Right,73,Richie Zisk,200
Overweight,"O1: [25,25.5)",OvWgt 1,25.107142857,Batted,c Overwgt,15,Good Data,1,0.252,Right,70,Dave Chalk,175
Overweight,"O1: [25,25.5)",OvWgt 1,25.064740101,Batted,c Overwgt,338,Good Data,1,0.26,Right,73,Don Baylor,190
Normal,"N4: [24,25)",Normal 2,24.668981047,Batted,b Normal,6,Good Data,1,0.161,Right,73,John Vukovich,187
Normal,"N4: [24,25)",Normal 2,24.816550926,Batted,b Normal,15,Good Data,1,0.248,Right,72,Danny Thompson,183
Normal,"N1: [19,22)",Normal 1,21.871111111,Batted,b Normal,9,Good Data,1,0.242,Left,75,Joe Simpson,175
Overweight,"O4: [26.5,30)",OvWgt 2,27.121913580,Batted,c Overwgt,7,Good Data,1,0.241,Left,72,Bill Fahey,200
Overweight,"O4: [26.5,30)",OvWgt 2,27.194009125,Batted,c Overwgt,18,Good Data,1,0.199,Right,71,Doug Camilli,195
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,73,Good Data,1,0.239,Left,72,Bernie Allen,175
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,Batted,c Overwgt,26,Good Data,1,0.239,Right,75,Bruce Bochy,205
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,No Batting,c Overwgt,0,Good Data,1,0,Right,71,Gary Ignasiak,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,164,Good Data,1,0.278,Left,72,Claudell Washington,190
Normal,"N2: [22,23)",Normal 1,22.313033128,Batted,b Normal,4,Good Data,1,0.238,Left,71,John Donaldson,160
Normal,"N3: [22,24)",Normal 2,23.61640625,No Batting,b Normal,0,Good Data,1,0,Left,80,Mike Smithson,215
Overweight,"O4: [26.5,30)",OvWgt 2,26.870222222,Batted,c Overwgt,255,Good Data,1,0.253,Left,75,John Mayberry,215
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,68,Good Data,1,0.26,Right,72,Ken Reitz,180
Normal,"N3: [22,24)",Normal 2,23.010315414,Batted,b Normal,193,Good Data,1,0.277,Right,71,Amos Otis,165
Normal,"N2: [22,23)",Normal 1,22.955102041,Batted,b Normal,55,Good Data,1,0.254,Right,70,Gene Alley,160
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,23,Good Data,1,0.262,Right,70,Ted Sizemore,165
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,12,Good Data,1,0.195,Left,72,Dan Briggs,180
Normal,"N3: [22,24)",Normal 2,23.745777778,No Batting,b Normal,0,Good Data,1,0,Right,75,Joe Skalski,190
Normal,"N3: [22,24)",Normal 2,23.010315414,Batted,b Normal,7,Good Data,1,0.238,Right,71,Doug Flynn,165
Overweight,"O1: [25,25.5)",OvWgt 1,25.064740101,No Batting,c Overwgt,0,Good Data,1,0,Both,73,Bert Bradley,190
Normal,"N2: [22,23)",Normal 1,22.466216216,Batted,b Normal,2,Good Data,1,0.163,Right,74,Ken Holtzman,175
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,98,Good Data,1,0.254,Left,73,Pete Ward,185
Overweight,"O3: [26,26.5)",OvWgt 2,26.443865741,Batted,c Overwgt,13,Good Data,1,0.222,Right,72,Kevin Bell,195
Overweight,"O1: [25,25.5)",OvWgt 1,25.460499156,Batted,c Overwgt,5,Good Data,1,0.205,Right,73,Tom Nieto,193
Overweight,"O1: [25,25.5)",OvWgt 1,25.290540541,Batted,c Overwgt,100,Good Data,1,0.239,Left,74,Duke Sims,197
Overweight,"O1: [25,25.5)",OvWgt 1,25.389489619,Batted,c Overwgt,20,Good Data,1,0.253,Right,68,Larvell Blanks,167
Normal,"N1: [19,22)",Normal 1,21.615750843,No Batting,b Normal,0,Good Data,1,0,Right,71,Francisco Barrios,155
Normal,"N2: [22,23)",Normal 1,22.466216216,Batted,b Normal,91,Good Data,1,0.259,Left,74,Mike Davis,175
Normal,"N3: [22,24)",Normal 2,23.713948389,Batted,b Normal,1,Good Data,1,0.167,Left,77,Jerry Reuss,200
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,102,Good Data,1,0.228,Right,72,Steve Yeager,190
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,13,Good Data,1,0.236,Left,73,Danny Goodwin,195
Normal,"N2: [22,23)",Normal 1,22.313033128,Batted,b Normal,7,Good Data,1,0.236,Both,71,Bud Harrelson,160
Normal,"N4: [24,25)",Normal 2,24.370666667,Batted,b Normal,6,Good Data,1,0.137,Left,75,Bob Knepper,195
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,61,Good Data,1,0.295,Left,70,Mickey Rivers,165
Normal,"N3: [22,24)",Normal 2,23.745777778,Batted,b Normal,153,Good Data,1,0.267,Left,75,Jim Northrup,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,Batted,c Overwgt,14,Good Data,1,0.201,Left,74,John Hale,195
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,No Batting,c Overwgt,0,Good Data,1,0,Left,74,Reggie Ritter,195
Overweight,"O1: [25,25.5)",OvWgt 1,25.107142857,Batted,c Overwgt,37,Good Data,1,0.22,Right,70,Pedro Garcia,175
